Model Performance Summary:

Overall Metrics:
MSE: 0.0302
RMSE: 0.1739
MAE: 0.1376
R2_Score: 0.4801
Pearson_Correlation: 0.7001

Gene Performance:
Mean Gene Correlation: 0.6818
Mean Spearman Correlation: 0.6685
Best Performing Genes Pearson: MYB, Cdk19, Plagl1, Crybg1, Lin28b
Best Performing Genes Spearman: Cdk19, MYB, Crybg1, Lin28b, Plagl1

Temporal Performance:
Time-lagged Correlation: 0.6818
DTW Distance: 3.4343
Direction Accuracy: 0.7273
Change Magnitude Ratio: 0.7839

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: 0.5655
STUM: 27 connections, correlation: 0.5670
Adora1: 27 connections, correlation: 0.5460
Arhgef4: 27 connections, correlation: 0.5799
Macir: 27 connections, correlation: 0.5831

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.6995
Pes1: range 15068.0000, correlation: 0.7087
Abra: range 12706.5000, correlation: 0.7535
Crybg1: range 10033.0000, correlation: 0.8805
Hbq1a: range 9130.0000, correlation: 0.7084

Top 5 Best Predicted Genes:
MYB: correlation 0.8960, connections: 4
Cdk19: correlation 0.8950, connections: 4
Plagl1: correlation 0.8866, connections: 4
Crybg1: correlation 0.8805, connections: 4
Lin28b: correlation 0.8771, connections: 4

Correlation values for all genes:
MYB: correlation 0.8960, connections: 4
Cdk19: correlation 0.8950, connections: 4
Plagl1: correlation 0.8866, connections: 4
Crybg1: correlation 0.8805, connections: 4
Lin28b: correlation 0.8771, connections: 4
Pappa: correlation 0.8423, connections: 10
Nlgn1: correlation 0.8331, connections: 1
Cyp7a1: correlation 0.8320, connections: 10
Mmp16: correlation 0.8311, connections: 10
Tsc22d2: correlation 0.8288, connections: 1
Tmem38b: correlation 0.8240, connections: 10
Tmem245: correlation 0.8198, connections: 10
LRATD1: correlation 0.8195, connections: 5
CIBAR1: correlation 0.8187, connections: 10
Ywhaq: correlation 0.8185, connections: 5
Pfn4: correlation 0.8154, connections: 5
Bach2: correlation 0.8144, connections: 10
