Model Performance Summary:

Overall Metrics:
MSE: 0.0743
RMSE: 0.2725
MAE: 0.2068
R2_Score: 0.4045
Pearson_Correlation: 0.6468

Gene Performance:
Mean Gene Correlation: 0.6077
Mean Spearman Correlation: 0.5959
Best Performing Genes Pearson: Acp1, Pfn4, LRATD1, Ywhaq, Lin28b
Best Performing Genes Spearman: Acp1, LRATD1, Pfn4, Ywhaq, MYB

Temporal Performance:
Time-lagged Correlation: 0.6083
DTW Distance: 5.1504
Direction Accuracy: 0.6975

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: 0.2895
STUM: 27 connections, correlation: 0.2858
Adora1: 27 connections, correlation: 0.3112
Arhgef4: 27 connections, correlation: 0.4280
Macir: 27 connections, correlation: 0.3291

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.6621
Pes1: range 15068.0000, correlation: 0.8651
Abra: range 12706.5000, correlation: 0.7176
Crybg1: range 10033.0000, correlation: 0.8871
Hbq1a: range 9130.0000, correlation: 0.8496

Top 5 Best Predicted Genes:
Acp1: correlation 0.9095, connections: 5
Pfn4: correlation 0.9069, connections: 5
LRATD1: correlation 0.9059, connections: 5
Ywhaq: correlation 0.9027, connections: 5
Lin28b: correlation 0.8971, connections: 4

Correlation values for all genes:
Acp1: correlation 0.9095, connections: 5
Pfn4: correlation 0.9069, connections: 5
LRATD1: correlation 0.9059, connections: 5
Ywhaq: correlation 0.9027, connections: 5
Lin28b: correlation 0.8971, connections: 4
Cdk19: correlation 0.8943, connections: 4
Tsc22d2: correlation 0.8925, connections: 1
Crybg1: correlation 0.8871, connections: 4
Nlgn1: correlation 0.8855, connections: 1
MYB: correlation 0.8851, connections: 4
Plagl1: correlation 0.8840, connections: 4
Strn3: correlation 0.8833, connections: 5
G2e3: correlation 0.8824, connections: 5
Pes1: correlation 0.8651, connections: 10
Itk: correlation 0.8631, connections: 10
Trim7: correlation 0.8625, connections: 10
Gabra1: correlation 0.8582, connections: 10
Ppp2ca: correlation 0.8558, connections: 10
Aff4: correlation 0.8549, connections: 10
Ewsr1: correlation 0.8547, connections: 10
Ebf1: correlation 0.8533, connections: 10
