Model Performance Summary:

Overall Metrics:
MSE: 0.2108
RMSE: 0.4591
MAE: 0.3558
R2_Score: 0.2056
Pearson_Correlation: 0.5095

Gene Performance:
Mean Gene Correlation: 0.4955
Mean Spearman Correlation: 0.5059
Best Performing Genes Pearson: Nlgn1, Tsc22d2, Zfand5, Flrt1, Jcad
Best Performing Genes Spearman: Nlgn1, Tsc22d2, CDR1, Abra, Ttc33

Temporal Performance:
Time-lagged Correlation: 0.4960
DTW Distance: 8.2857
Direction Accuracy: 0.7403
Change Magnitude Ratio: 0.7123

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: 0.3186
STUM: 27 connections, correlation: 0.3127
Adora1: 27 connections, correlation: 0.2893
Arhgef4: 27 connections, correlation: 0.4531
Macir: 27 connections, correlation: 0.3607

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.6998
Pes1: range 15068.0000, correlation: 0.5811
Abra: range 12706.5000, correlation: 0.8129
Crybg1: range 10033.0000, correlation: 0.6137
Hbq1a: range 9130.0000, correlation: 0.6166

Top 5 Best Predicted Genes:
Nlgn1: correlation 0.8647, connections: 1
Tsc22d2: correlation 0.8582, connections: 1
Zfand5: correlation 0.8409, connections: 1
Flrt1: correlation 0.8365, connections: 1
Jcad: correlation 0.8262, connections: 3

Correlation values for all genes:
Nlgn1: correlation 0.8647, connections: 1
Tsc22d2: correlation 0.8582, connections: 1
Zfand5: correlation 0.8409, connections: 1
Flrt1: correlation 0.8365, connections: 1
Jcad: correlation 0.8262, connections: 3
Kctd16: correlation 0.8165, connections: 3
Abra: correlation 0.8129, connections: 4
Proz: correlation 0.8109, connections: 5
Pcdhb22: correlation 0.8087, connections: 3
Tusc3: correlation 0.8087, connections: 5
Map3k2: correlation 0.8086, connections: 3
Thsd1: correlation 0.8054, connections: 5
Ing2: correlation 0.8040, connections: 5
Ttc33: correlation 0.7993, connections: 4
Gpm6a: correlation 0.7984, connections: 5
Slc9a6: correlation 0.7960, connections: 2
CDR1: correlation 0.7952, connections: 2
Cdh12: correlation 0.7944, connections: 4
Clcn3: correlation 0.7920, connections: 5
