Model Performance Summary:

Overall Metrics:
MSE: 0.0346
RMSE: 0.1859
MAE: 0.1486
R2_Score: 0.4055
Pearson_Correlation: 0.6541

Gene Performance:
Mean Gene Correlation: 0.6380
Mean Spearman Correlation: 0.6131
Best Performing Genes Pearson: Nlgn1, Tsc22d2, Cdk19, MYB, Plagl1
Best Performing Genes Spearman: Nlgn1, Tsc22d2, CDR1, Slc9a6, SLY

Temporal Performance:
Time-lagged Correlation: 0.6381
DTW Distance: 3.6177
Direction Accuracy: 0.7086
Change Magnitude Ratio: 0.7905

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: 0.4315
STUM: 27 connections, correlation: 0.4326
Adora1: 27 connections, correlation: 0.3997
Arhgef4: 27 connections, correlation: 0.5248
Macir: 27 connections, correlation: 0.4434

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.7595
Pes1: range 15068.0000, correlation: 0.6864
Abra: range 12706.5000, correlation: 0.8216
Crybg1: range 10033.0000, correlation: 0.8458
Hbq1a: range 9130.0000, correlation: 0.6903

Top 5 Best Predicted Genes:
Nlgn1: correlation 0.9313, connections: 1
Tsc22d2: correlation 0.9254, connections: 1
Cdk19: correlation 0.8661, connections: 4
MYB: correlation 0.8658, connections: 4
Plagl1: correlation 0.8556, connections: 4

Correlation values for all genes:
Nlgn1: correlation 0.9313, connections: 1
Tsc22d2: correlation 0.9254, connections: 1
Cdk19: correlation 0.8661, connections: 4
MYB: correlation 0.8658, connections: 4
Plagl1: correlation 0.8556, connections: 4
Lin28b: correlation 0.8459, connections: 4
Crybg1: correlation 0.8458, connections: 4
Pfn4: correlation 0.8374, connections: 5
CDR1: correlation 0.8357, connections: 2
LRATD1: correlation 0.8338, connections: 5
Ywhaq: correlation 0.8307, connections: 5
Abra: correlation 0.8216, connections: 4
Acp1: correlation 0.8205, connections: 5
Ttc33: correlation 0.8192, connections: 4
SLY: correlation 0.8159, connections: 2
Cdh12: correlation 0.8109, connections: 4
Slc9a6: correlation 0.8050, connections: 2
Thsd1: correlation 0.7956, connections: 5
Clcn3: correlation 0.7915, connections: 5
Proz: correlation 0.7905, connections: 5
Kctd16: correlation 0.7896, connections: 3
Pcdhb22: correlation 0.7895, connections: 3
Peg10: correlation 0.7888, connections: 5
Ing2: correlation 0.7866, connections: 5
Pappa: correlation 0.7864, connections: 10
Tusc3: correlation 0.7834, connections: 5
Map3k2: correlation 0.7809, connections: 3
Nxph1: correlation 0.7783, connections: 5
Zfp800: correlation 0.7762, connections: 5
Gpm6a: correlation 0.7759, connections: 5
Zfp467: correlation 0.7737, connections: 5
Jcad: correlation 0.7726, connections: 3
Mmp16: correlation 0.7681, connections: 10
Cdk6: correlation 0.7681, connections: 5
Sftpb: correlation 0.7668, connections: 5
Tmem38b: correlation 0.7658, connections: 10
Tmem245: correlation 0.7647, connections: 10
Ppif: correlation 0.7608, connections: 3
Cyp7a1: correlation 0.7601, connections: 10
Gng12: correlation 0.7601, connections: 5
Dap: correlation 0.7595, connections: 4
Bach2: correlation 0.7565, connections: 10
Pakap: correlation 0.7543, connections: 10
Strn3: correlation 0.7538, connections: 5
CIBAR1: correlation 0.7535, connections: 10
G2e3: correlation 0.7513, connections: 5
Aptx: correlation 0.7463, connections: 10
Flrt1: correlation 0.7459, connections: 1
Ankrd33b: correlation 0.7441, connections: 4
Zfp292: correlation 0.7425, connections: 10
Ccl21d: correlation 0.7411, connections: 10
Cpeb2: correlation 0.7393, connections: 5
Zfand5: correlation 0.7384, connections: 1
Rbpj: correlation 0.7284, connections: 5
Nlrc3: correlation 0.7258, connections: 3
Ewsr1: correlation 0.7149, connections: 10
Tbc1d1: correlation 0.7134, connections: 5
Rbm47: correlation 0.7133, connections: 5
Ccdc88a: correlation 0.7077, connections: 10
Fam114a1: correlation 0.7075, connections: 5
Itk: correlation 0.7028, connections: 10
Atp13a3: correlation 0.6972, connections: 3
Zbtb20: correlation 0.6960, connections: 3
Bcl6: correlation 0.6916, connections: 3
Trim7: correlation 0.6914, connections: 10
