Model Performance Summary:

Overall Metrics:
MSE: 0.0418
RMSE: 0.2046
MAE: 0.1588
R2_Score: 0.3761
Pearson_Correlation: 0.6210

Gene Performance:
Mean Gene Correlation: 0.5741
Mean Spearman Correlation: 0.5460
Best Performing Genes Pearson: Tsc22d2, Nlgn1, Zfand5, Flrt1, CDR1
Best Performing Genes Spearman: Tsc22d2, Nlgn1, Tbc1d1, Cpeb2, Rbpj

Temporal Performance:
Time-lagged Correlation: 0.6179
DTW Distance: 3.9745
Direction Accuracy: 0.6869
Change Magnitude Ratio: 0.6471

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: -0.1263
STUM: 27 connections, correlation: -0.1178
Adora1: 27 connections, correlation: -0.1248
Arhgef4: 27 connections, correlation: 0.3266
Macir: 27 connections, correlation: -0.0636

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.7499
Pes1: range 15068.0000, correlation: 0.7930
Abra: range 12706.5000, correlation: 0.8399
Crybg1: range 10033.0000, correlation: 0.6740
Hbq1a: range 9130.0000, correlation: 0.7885

Top 5 Best Predicted Genes:
Tsc22d2: correlation 0.9359, connections: 1
Nlgn1: correlation 0.9340, connections: 1
Zfand5: correlation 0.8985, connections: 1
Flrt1: correlation 0.8960, connections: 1
CDR1: correlation 0.8763, connections: 2

Correlation values for all genes:
Tsc22d2: correlation 0.9359, connections: 1
Nlgn1: correlation 0.9340, connections: 1
Zfand5: correlation 0.8985, connections: 1
Flrt1: correlation 0.8960, connections: 1
CDR1: correlation 0.8763, connections: 2
Cpeb2: correlation 0.8729, connections: 5
Cdk6: correlation 0.8594, connections: 5
Rbpj: correlation 0.8514, connections: 5
Tusc3: correlation 0.8504, connections: 5
Clcn3: correlation 0.8499, connections: 5
Slc9a6: correlation 0.8475, connections: 2
Tbc1d1: correlation 0.8463, connections: 5
Rbm47: correlation 0.8455, connections: 5
Proz: correlation 0.8426, connections: 5
Nlrc3: correlation 0.8418, connections: 3
Bcl6: correlation 0.8399, connections: 3
Abra: correlation 0.8399, connections: 4
SLY: correlation 0.8386, connections: 2
Zbtb20: correlation 0.8378, connections: 3
Thsd1: correlation 0.8334, connections: 5
Gpm6a: correlation 0.8296, connections: 5
Atp13a3: correlation 0.8287, connections: 3
Ttc33: correlation 0.8282, connections: 4
Cdh12: correlation 0.8266, connections: 4
Fam114a1: correlation 0.8262, connections: 5
Ing2: correlation 0.8251, connections: 5
Sox4: correlation 0.8120, connections: 6
Cplx2: correlation 0.8102, connections: 6
Gmpr: correlation 0.8063, connections: 6
Wdr37: correlation 0.8004, connections: 6
Amph: correlation 0.7933, connections: 6
