Model Performance Summary:

Overall Metrics:
MSE: 0.0435
RMSE: 0.2085
MAE: 0.1636
R2_Score: 0.3961
Pearson_Correlation: 0.6337

Gene Performance:
Mean Gene Correlation: 0.5978
Mean Spearman Correlation: 0.5492
Best Performing Genes Pearson: Tsc22d2, Nlgn1, Map3k2, Jcad, Kctd16
Best Performing Genes Spearman: Nlgn1, Kctd16, Map3k2, Jcad, Tsc22d2

Temporal Performance:
Time-lagged Correlation: 0.6003
DTW Distance: 3.9788
Direction Accuracy: 0.6894

Gene Analysis Summary:

Top 5 Most Connected Genes:
1700025G04Rik: 27 connections, correlation: 0.2190
STUM: 27 connections, correlation: 0.2493
Adora1: 27 connections, correlation: 0.2638
Arhgef4: 27 connections, correlation: 0.4767
Macir: 27 connections, correlation: 0.3000

Top 5 Most Variable Genes:
Dap: range 19590.0000, correlation: 0.1987
Pes1: range 15068.0000, correlation: 0.8330
Abra: range 12706.5000, correlation: 0.3596
Crybg1: range 10033.0000, correlation: 0.6810
Hbq1a: range 9130.0000, correlation: 0.8396

Top 5 Best Predicted Genes:
Tsc22d2: correlation 0.8867, connections: 1
Nlgn1: correlation 0.8852, connections: 1
Map3k2: correlation 0.8635, connections: 3
Jcad: correlation 0.8596, connections: 3
Kctd16: correlation 0.8546, connections: 3

Correlation values for all genes:
Tsc22d2: correlation 0.8867, connections: 1
Nlgn1: correlation 0.8852, connections: 1
Map3k2: correlation 0.8635, connections: 3
Jcad: correlation 0.8596, connections: 3
Kctd16: correlation 0.8546, connections: 3
Zbtb20: correlation 0.8428, connections: 3
Bcl6: correlation 0.8419, connections: 3
Hbq1a: correlation 0.8396, connections: 10
Nlrc3: correlation 0.8376, connections: 3
Pcdhb22: correlation 0.8373, connections: 3
Atp13a3: correlation 0.8352, connections: 3
Itk: correlation 0.8345, connections: 10
Pes1: correlation 0.8330, connections: 10
Ccdc88a: correlation 0.8325, connections: 10
Gabra1: correlation 0.8298, connections: 10
Ebf1: correlation 0.8286, connections: 10
Hnrnph1: correlation 0.8282, connections: 10
